58.0,79.0,87.04,12.96,0.0,0.0,0.0,0.0
60.0,43.0,0.0,0.0,58.49,41.51,0.0,0.0
30.0,34.0,76.63,19.75,0.62,3.0,0.0,0.0
2.0,40.0,95.72,0.0,2.84,0.0,0.0,0.0
3.0,38.0,65.91,34.09,0.0,0.0,0.0,0.0
26.0,38.0,89.32,10.68,0.0,0.0,0.0,0.0
77.0,17.0,84.15,15.85,0.0,0.0,0.0,0.0
78.0,17.0,77.53,0.0,22.47,0.0,0.0,0.0
85.0,19.0,24.78,2.97,0.0,4.32,66.99,0.94
86.0,18.0,68.42,31.1,0.0,0.0,0.0,0.48
79.0,5.0,68.79,31.21,0.0,0.0,0.0,0.0
82.0,2.0,88.33,8.68,0.0,2.99,0.0,0.0
82.0,1.0,80.69,19.31,0.0,0.0,0.0,0.0
82.0,54.0,88.76,4.27,6.97,0.0,0.0,0.0
73.0,54.0,59.72,38.33,1.95,0.0,0.0,0.0
68.0,53.0,71.4,0.0,19.33,9.27,0.0,0.0
84.0,53.0,90.68,9.32,0.0,0.0,0.0,0.0
81.0,55.0,87.81,2.27,7.38,2.54,0.0,0.0
85.0,57.0,57.47,0.0,18.93,22.31,0.0,1.29
78.0,50.0,50.62,4.99,0.0,2.34,42.05,0.0
79.0,27.0,74.69,10.81,5.58,8.92,0.0,0.0
77.0,31.0,7.37,0.0,0.0,0.0,90.78,1.85
82.0,49.0,63.71,5.31,27.5,3.48,0.0,0.0
75.0,48.0,65.08,19.3,2.74,12.88,0.0,0.0
74.0,52.0,77.7,19.92,0.0,2.38,0.0,0.0
85.0,31.0,37.7,5.27,48.96,8.07,0.0,0.0
81.0,52.0,9.04,5.51,0.0,0.0,85.45,0.0
85.0,28.0,93.96,4.18,0.0,1.86,0.0,0.0
68.0,52.0,59.77,46.54,0.0,3.13,0.0,0.56
75.0,38.0,97.09,2.91,0.0,0.0,0.0,0.0
78.0,36.0,72.94,0.0,13.35,13.71,0.0,0.0
81.0,34.0,78.59,0.0,21.41,0.0,0.0,0.0
70.0,40.0,70.83,0.82,21.54,6.43,0.0,0.38
75.0,41.0,61.19,27.1,8.32,3.39,0.0,0.0
75.0,42.0,81.08,15.72,0.0,3.2,0.0,0.0
74.0,43.0,5.7,1.35,0.0,1.69,91.26,0.0
76.0,33.0,86.9,11.88,0.0,0.0,0.0,1.22
80.0,33.0,67.94,30.29,0.0,1.77,0.0,0.0
76.0,41.0,75.93,13.03,8.46,2.58,0.0,0.0
74.0,40.0,65.07,1.22,10.45,22.83,0.0,0.43
75.0,47.0,65.65,0.91,29.46,3.98,0.0,0.0
78.0,44.0,80.22,16.67,3.11,0.0,0.0,0.0
76.0,36.0,74.47,0.58,19.55,5.4,0.0,0.0
75.0,47.0,82.07,0.0,6.16,11.77,0.0,0.0
21.0,107.0,73.82,26.18,0.0,0.0,0.0,0.0
68.0,51.0,76.31,21.64,0.0,2.05,0.0,0.0
69.35430908203125,50.90126419067383,72.26,20.97,0.0,5.53,0.0,1.24
40.46631622314453,67.44458770751953,42.86,1.12,0.0,3.72,52.3,0.0
60.08342742919922,53.05813980102539,16.74,1.48,0.0,1.6,80.18,0.0
27.991960525512695,101.95750427246094,62.93,32.27,0.0,4.8,0.0,0.0
66.42839813232422,48.2651481628418,72.93,2.28,12.13,12.2,0.0,0.46
57.53794860839844,64.68086242675781,74.66,1.01,19.26,5.07,0.0,0.0
