Popular Quotes,Author Names,Likes,Links,Images
"    If all else perished, and he remained, I should still continue to be; and if all else remained, and he were annihilated, the universe would turn to a mighty stranger.","    Emily Jane Bront√´ ,  ",7160,/author/show/4191.Emily_Bront_,https://images.gr-assets.com/authors/1529578586p2/4191.jpg
"    I am a man"" he told her, ""and men do not consume pink beverages. Get thee gone woman, and bring me something brown.","    Cassandra Clare,  ",7150,/author/show/150038.Cassandra_Clare,https://images.gr-assets.com/authors/1270502031p2/150038.jpg
"    Love is always patient and kind. It is never jealous. Love is never boastful or conceited. It is never rude or selfish. It does not take offense and is not resentful. Love takes no pleasure in other peopl?ôs sins, but delights in the truth. It is always ready to excuse, to trust, to hope, and to endure whatever comes.","    Anonymous,  ",7142,/work/quotes/19119100, 
"    I spent my life folded between the pages of books.In the absence of human relationships I formed bonds with paper characters. I lived love and loss through stories threaded in history; I experienced adolescence by association. My world is one interwoven web of words, stringing limb to limb, bone to sinew, thoughts and images all together. I am a being comprised of letters, a character created by sentences, a figment of imagination formed through fiction.","    Tahereh Mafi,  ",7119,/work/quotes/15333458, 
    Books are mirrors: you only see in them what you already have inside you.,"    Carlos Ruiz Zaf√≥n,  ",7119,/author/show/815.Carlos_Ruiz_Zaf_n,https://images.gr-assets.com/authors/1601032197p2/815.jpg
    what matters most is how well you walk through the fir?ù    ,    Charles Bukowski   ,7097,/author/show/13275.Charles_Bukowski,https://images.gr-assets.com/authors/1501509674p2/13275.jpg
"    What the hell is that?"" I laughed.""It's my fox hat.""""Your fox hat?""""Yeah, Pudge. My fox hat.""""Why are you wearing your fox hat?"" I asked.""Because no one can catch the motherfucking fox.","    John Green,  ",7085,/author/show/1406384.John_Green,https://images.gr-assets.com/authors/1353452301p2/1406384.jpg
"    I can be changed by what happens to me. But I refuse to be reduced by it.(Popular misquote of ""You may not control all the events that happen to you, but you can decide not to be reduced by them.""?ù    ","    Maya Angelou,  ",7073,/author/show/3503.Maya_Angelou,https://images.gr-assets.com/authors/1379017377p2/3503.jpg
    Accept who you are. Unless you're a serial killer.,"    Ellen DeGeneres,  ",7057,/author/show/40648.Ellen_DeGeneres,https://images.gr-assets.com/authors/1328758901p2/40648.jpg
"    Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up. You build up all these defenses, you build up a whole suit of armor, so that nothing can hurt you, then one stupid person, no different from any other stupid person, wanders into your stupid life...You give them a piece of you. They didn't ask for it. They did something dumb one day, like kiss you or smile at you, and then your life isn't your own anymore. Love takes hostages. It gets inside you. It eats you out and leaves you crying in the darkness, so simple a phrase like 'maybe we should be just friends' turns into a glass splinter working its way into your heart. It hurts. Not just in the imagination. Not just in the mind. It's a soul-hurt, a real gets-inside-you-and-rips-you-apart pain. I hate love.","    Neil Gaiman,  ",7051,/author/show/1221698.Neil_Gaiman,https://images.gr-assets.com/authors/1234150163p2/1221698.jpg
